"doc_id","text","year","university","uni_code","region","uni_type","public","tier","proj985","proj211","2first","super","prov","city","key_uni"
"611_01","—1—本报告根据《高等学校信息公开办法》（教育部29号令）、《高等学校信息公开事项清单》（教办函〔2014〕23号）、《浙江省高校信息公开工作指引（试行）》（浙教办综〔2021〕2号）和《浙江省教育厅办公室关于做好2023年高校信息公开年度报告等工作的通知》等有关要求，参照《中华人民共和国政府信息公开条例》，依照《杭州师范大学信息公开管理办法》（杭师大发〔2019〕31号）进行编制。全文包括情况概述、主动公开情况、依申请公开和不予公开情况、存在问题和改进措施等，所列数据统计期限为2022年9月1日至2023年8月31日。本报告的电子版可以从杭州师范大学信息公开网站（https://xxgk.hznu.edu.cn/xxgknb/）下载。如对本报告有任何疑问，请联系杭州师范大学信息公开领导小组办公室（电话：0571-28868229；邮箱：xxgk@hznu.edu.cn）。一、信息公开情况概述2022—2023学年，杭州师范大学坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的二十大精神及党的教育方针，牢牢把握社会主义办学方向，紧扣高质量发展主题，落实立德树人根本任务，紧紧围绕争创国家“双一流”建设高校目标，把推进信息公开工作作为创新高校管理理念与管—2—理方法、促进依法治校的重要手段。",2023,"Hangzhou Normal University","HZNormal","Eastern","public",1,1,0,0,0,"Province","Zhejiang","Hangzhou",0
"865_13","六、因信息公开受到举报的情况2021-2022学年，我校没有因信息公开工作而受到举报的情况，也没有发生涉及信息公开的行政复议、诉讼或者申诉。七、存在的主要问题和改进措施目前，学校在推进信息公开方面还有一些问题和不足，主要是校内各单位开展信息公开工作的意识和主动性不均衡，信息公开的监督考核配套制度仍需完善。为此，学校今后的工作重点要进一步压实信息公开工作的主体责任，继续优化院校两级信息公开联动机制，加强对各职能部门在信息公开工作各环节的监督指导。北京石油化工学院2022年10月31日转发学校官微学校微博北石化企业官微本网站不良信息举报",2022,"Beijing Institute of Petrochemical Technology","BIPetroT","Northern","public",1,2,0,0,0,"Municipal","Beijing","Beijing",0
"1130_06","学校还通过公告栏、电子显示器滚动播出相关信息。5.通过其他形式公开信息情况学校通过召开中层干部会、各类专题会等公开重要信息，通过座谈会、校领导接待日、校长信箱广泛征求意见。此外，学校还通过各类文件、手册、宣传册、年鉴、统计报表等纸质资料利用多种渠道进行信息公开。学校领导高度重视教育部下发的《高等学校信息公开事5项清单》，并根据分管责任部门，将《清单》的50条拆分为58条，现已将清单所列58条事项公开于信息公开网。（二）《高等学校信息公开事项清单》说明1.办学规模、校级领导班子简介及分工情况在学校网站首页-“天体概况”栏目下公开并及时更新，同时信息公开网有相关链接。办学规模：https://www.tjus.edu.cn/ttgk/xxjj.htm校级领导班子简介及分工情况：https://www.tjus.edu.cn/ttgk/xrld.htm2.学校机构设置、教师和专业技术人员数量等办学基本情况在学校网站首页-“机构设置”栏目下公开，同时信息公开网有相关链接。",2023,"Tianjin University of Sport","TianjinSportU","Northern","public",1,2,0,0,0,"Municipal","Tianjin","Tianjin",0
"49_17","二是加强科研诚信意识学习培训，营造良好学术氛围。2022年8月为全体新聘青年教师举办了题为《学术规范与科研能力提升》的科研培训讲座，着力加强科研诚信及学风建设，构建学术不端预防机制。同时，加强本科生毕业论文（设计）各环节学术规范和质量检测。三是完善了学校学术治理体系，为充分发挥学术委员会在学风建设方面的作用，在2021年9月调整充实了校学术委员会成员（郑工政〔2021〕240号），支持和保障学术委员会依法履行职责，调查、认定学术不端行为。（八）学位、学科信息公开情况学校根据《学士学位授予工作实施细则》（郑工政〔2020〕59号），严格按照学士学位授予的条件和要求授予学位。经过各院（部）学位评定分委员会的审查上报和校学位评定委员会的审议批准，2022年授予6987名本科生学士学位，其中管理学982人、经济学262人、教育学707人、文学362人、工学2064人、艺术学706人、理学1904人，学位授予率为98.9%。",2022,"Zhengzhou University of Industrial Technology","ZhengzhouIndus","Central","private",0,2,0,0,0,"Province Education","Henan","Zhengzhou",0
"869_10","本年度，编发《中国农业大学校报》19期、《中国农业大学校情要报》17期、《中国农业大学信息月报》7期、《中国农业大学信息通报》1期，及时公开学校在党的建设、科研创新、人才培养、人才队伍、社会服务、国际交流、后勤服务等方面的工作情况和典型案例。5.校长信箱公开情况。本年度，学校继续通过校长信箱畅通学校、各部门、学院与师生的沟通渠道,充分发挥咨询、建议、意见、表扬等四项主要功能。按照《中国农业大学校长信箱使用管理办法》规定，2330封来信均得到及时有效回复，来信涉及-8-后勤保障、师生校园活动、教学及学生日常事务管理等多方面。其中，咨询类信件661件，意见类信件339件，建议类信件1070件，其他信件259件（图2）。编发《校长信箱来信办理情况工作报告》5期，健全来信分析研判和预警处置机制，践行为人民服务、以师生为中心的办学理念和宗旨，及时回应师生诉求，积极解决实际困难。",2023,"China Agricultural University","CAU","Northern","public",1,1,1,1,1,"Ministry of Education","Beijing","Beijing",1
"1120_06","继续修订、印发《天津外国语大学学生手册》等材料，便于学生了解最新信息。3.教代会、校领导接待日、领导信箱公开信息情况。充分发挥教代会职能作用，凡是涉及学校改革发展的重大问题，涉及师生员工切身利益的重要事项等实行公开制度。坚持校领导“接待日”制度，学校领导坚持每周在两校区坐班，本学年安排校领导接待群众来访10次，针对来访群众所反映的问题，学校领导均与其进行了面对面交流，此外，结合“迎盛会、铸忠诚、强担当、创业绩”主题学习宣传教育实践活动，安排校领导茶叙会3次。专人负责书记、校长信箱及工会等部门专用信箱，专人负责，书记、校长热线，专人负责天津市智慧信访系统、天津市便民专线服务平台，畅通群众诉求表达机制，规范办理群众的信访事项，“让各种声音都有回音”。（二）主动公开的信息内容1.党的建设信息（1）政治建设情况。",2022,"Tianjin Foreign Studies University","TianjinFSU","Northern","public",1,2,0,0,0,"Municipal","Tianjin","Tianjin",0
"950_01","中国政法大学2022-2023学年信息公开报告目录一、情况概述.............................................-1-（一）以调查研究为支撑，常态化保持发现解决问题的主动性和自觉性.-1-（二）以迎评促建为契机，提高信息公开规范性.....................-2-（三）以督查督办为抓手，提升信息公开实效性.....................-3-二、主动公开情况.................................................-4-（一）主动公开各类信息的方式...................................-4-（二）主动公开信息的数量.......................................-4-（三）信息公开目录公开情况.....................................-6-三、依申请公开和不予公开情况..................................-14-四、因学校信息公开工作受到投诉、复议、诉讼情况.............-14-五、主要经验及存在的问题和改进措施...........................-14-六、其他需要报告的事项.........................................-15-附件..............................................................-15--1-中国政法大学2022—2023学年信息公开报告本年度报告是根据《中华人民共和国政府信息公开条例》（以下简称《条例》）、《高等学校信息公开办法》（以下简称《办法》）、《教育部关于公布<高等学校信息公开事项清单>的通知》要求，由中国政法大学编制。全文包括学校信息公开情况概述，主动公开情况，依申请公开情况，信息公开工作受到投诉、复议、诉讼情况，信息公开工作的主要经验、存在问题和改进措施，以及其他需要报告的事项和清单事项公开情况表。本年度报告中所列数据的统计期限为2022年9月1日至2023年8月31日。一、情况概述2022—2023学年，学校坚持以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大精神、全国教育大会精神、习近平总书记考察我校重要讲话精神和勉励语精神，按照《高等学校信息公开办法》要求，充分发挥信息公开工作领导小组作用，严格执行《中国政法大学信息公开实施办法》，坚持“以公开为常态、不公开为例外”的原则，将信息公开作为深化教育改革、促进依法治校、加强内部治理的重要抓手，切实回应社会关切，提高办学治校透明度。",2023,"China University of Political Science and Law","ChinaUnivPolLaw","Northern","public",1,1,0,1,1,"Ministry of Education","Beijing","Beijing",1
"1361_25","学生各类奖勤助制度纳入《广东白云学院学生手册》（2023版），详情见https://xsgz.baiyunu.edu.cn/html/cn/c/5173.html。7.学风建设信息贯彻落实教育部《关于切实加强和改进高等学校学风建设的实施意见》（教技〔2011〕1号），成立校学术委员会学术道德专门委员会和科学研究专门委员会，指导学术道德和学风的教育，组织学术不端行为的调查与处理，公开、公正行使学校科学研究事务的决策、审议、评定、咨询等职权。（40）学风建设机构。学校成立了广东白云学院学术委员会管理学校学术行为，通过《广东白云学院学术委员会章程》（见前述“基本信息公开”第4项）明确赋予其作为学校学风建设专门机构的相关权力和职责。（41）～（42）学术规范制度，学术不端行为查处机制。学校制定了《广东白云学院学术行为规范》（见前述“基本信息公开”第4项）明确了学术规范和学术不端行为查处机制。",2023,"Guangdong Baiyun University","GDBaiyunU","Southern","private",0,2,0,0,0,"Province Education","Guangdong","Guangzhou",0
"1031_09","四、信息公开工作的评议情况本学年度，学校广大师生员工对学校信息公开工作给予了支持和肯定，评议良好。学校未出现因学校信息公开工作受到举报的情况。五、因学校信息公开工作受到举报、复议、诉讼的情况本年度，学校未发生因信息公开工作受到举报、复议、诉讼的情况。六、重点工作的特色做法（一）招生信息公开情况——根据国家、自治区的有关规定，学校结合招生工作实际，科学制定了招生章程，并报送内蒙古招生考试中心，同时在内蒙古医科大学招生网及阳光高考平台予以公布。——在各专业招生就业情况统计分析的基础上，广泛征求各学院、广大教师及用人单位的意见和建议，合理制定了2023年分专业招生计划。——积极通过校园网、新闻媒体、高招咨询会、咨询电话等形式不断加大招生宣传咨询的力度，解答考生及考生家长的疑问，收到良好的效果。",2023,"Inner Mongolia Medical University","IMMedU","Northern","public",1,2,0,0,0,"Province","Inner Mongolia","Hohhot",0
"517_02","（一）加强组织领导，完善实施细则为深入贯彻落实教育部关于学校信息公开的要求，建立信息公开工作长效机制，不断加大信息公开力度，切实保障师生员工和社会公众的知情权、参与权、表达权和监督权，扎实推进依法治校，加快现代大学制度建设，学校对《东华大学信息公开实施细则》进行修订，对标《中华人民共和国2政府信息公开条例》等上级文件精神和要求，对细则内容进行准确表述，并结合学校工作实际，进一步补充和调整相关条款，持续完善信息发布协调机制、重要信息发布审批机制、依申请公开工作机制等。同时，学校对信息公开领导小组成员进行调整，扩大了领导队伍并进一步明确了工作职责。信息公开领导小组深入研究部署、统筹规划、指导学校信息公开工作，审议有关制度，研究决定学校信息公开工作重要事项。信息公开工作队伍及时研究新形势下的工作情况，常规性工作定期公开、阶段性工作即时公开，将信息公开与政务服务工作相结合，推动学校信息公开工作创新发展。",2022,"Donghua University","DHU","Eastern","public",1,1,0,1,1,"Ministry of Education","Shanghai","Shanghai",1
"1578_14","学校纪检监察部门全过程参与本科生招生报考录取工作，以及研究生招生考试、复试录取等各环节的监督检查，严肃招生纪律，持续加强对招生工作的监督管理。（四）学生就业信息公开情况2023-2024学年度，学校认真学习贯彻习近平总书记关于做好高校毕业生就业工作的重要指示批示精神，坚决落实党中央、国务院“稳就业”“保就业”决策部署，做实做细就业指导服务，抓好学生就业签约落实，尤其把脱贫家庭、低保家庭、零就业家—11—庭以及有残疾的、较长时间未就业的毕业生作为重点帮扶对象，更好帮助毕业生们到祖国和人民最需要的地方建功立业。瞄准国民经济主战场，大力拓展央企就业市场，国资委旗下96家央企中有40余家进校招聘；大力宣传政策性岗位，引导毕业生面向基层就业，组织11个省市选调生宣讲报名，27个省市紧缺人才引进，10余个保密机关招录及军队文职宣讲；积极开展线上宣讲及双选，共举办空中宣讲会147场，空中双选会8场，参会单位千余家，提供就业岗位4万余个；举办线下专场招聘会1029场，大型组团招聘会46场，进校单位3496家，发布招聘信息5972条。打造就业平台，推进就业指导“进云端”。",2024,"Southwest Jiaotong University","SWJiaotong","Southwestern","public",1,1,0,1,1,"Ministry of Education","Sichuan","Chengdu",1
"725_13","五、因信息公开工作遭到举报的情况2022-2023学年度，学校未发生因信息公开工作受到举报的问题。六、信息公开的经验、存在的问题与改进措施信息公开是一项促进学校健康稳定发展的重要工作，离不开全校上下的共同努力。学校的基本经验：一是领导高度重视；二是健全规章制度；三是提高师生民主法治意识；四是通过公开改进促进工作。我校在积极推进学校信息公开工作方面，取得了一定成效。但是按照上级的要求和形势发展需要相比，仍有不足之处。主要是：一是信息公开相关工作人员培训应加强；二是各单位信息公开工作不平衡，个别部门的信息公开工作需进一步规范。",2023,"Jilin International Studies University","JLUISU","Northeastern","private",0,2,0,0,0,"Province Education","Jilin","Changchun",0
